run_id,model,block,statement_mode,honesty_level,return_policy,presentation_mode,orthogonality_instruction,seed_index,trial,statement_true,return_rate,investment,returned_tokens,payoff,net_gain_from_investment,cumulative_truth_rate_before,cumulative_return_rate_before,previous_payoff
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,1,True,0.5,0,0,10,0,,,
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,2,True,0.55,1,2,11,1,1.0,0.5,10
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,3,False,0.55,2,3,11,1,1.0,0.525,11
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,4,True,0.5,5,8,13,3,0.667,0.533,11
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,5,True,0.45,3,4,11,1,0.75,0.525,13
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,6,False,0.7,6,13,17,7,0.8,0.51,11
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,7,True,0.55,7,12,15,5,0.667,0.542,17
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,8,True,0.6,5,9,14,4,0.714,0.543,15
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,9,True,0.7,6,13,17,7,0.75,0.55,14
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,10,True,0.45,5,7,12,2,0.778,0.567,17
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,11,True,0.5,5,8,13,3,0.8,0.555,12
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,12,True,0.6,5,9,14,4,0.818,0.55,13
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,13,True,0.75,5,11,16,6,0.833,0.554,14
1,MiniMax-M2.7,main_partner_honesty,partner_private_card,high,fair_high,sequential_trial,standard,1,14,False,0.7,5,10,15,5,0.846,0.569,16
